350 	 0.00057455 	 1740 	 5.1532 	 1 	 18 	 32793415 	 10801.05 	 24799434418158.000000 	 9.172000 	 10800 	 2183.13 	 8807479.000000 	 	 C:\z_mine\research\MEMO muppets\z initem losowym\z_research\mup_active_random_reinit\104b00_res_01.txt 	  118 	 245 	 279 	 419 	 432 	 340 	 259 	 191 	 103 	 54 	 20 	 13 	 9 	 13 	 3 	 1 	 0 	 1 	 0 	 0 	 
290 	 0.00075386 	 1326 	 5.0676 	 1 	 16 	 35670292 	 10804.10 	 24805853783234.000000 	 7.891000 	 10800 	 1937.45 	 7457906.000000 	 	 C:\z_mine\research\MEMO muppets\z initem losowym\z_research\mup_active_random_reinit\104b01_res_00.txt 	  137 	 238 	 246 	 431 	 442 	 377 	 288 	 163 	 88 	 35 	 29 	 11 	 8 	 1 	 5 	 1 	 0 	 0 	 0 	 0 	 
400 	 0.00232558 	 429 	 5.0176 	 1 	 20 	 35023380 	 10802.68 	 24803395707868.000000 	 10.375000 	 10800 	 10578.59 	 34430041.000000 	 	 C:\z_mine\research\MEMO muppets\z initem losowym\z_research\mup_active_random_reinit\104b02_res_00.txt 	  149 	 263 	 302 	 408 	 396 	 352 	 268 	 166 	 81 	 45 	 31 	 18 	 11 	 3 	 3 	 2 	 1 	 0 	 0 	 1 	 
260 	 0.00031051 	 3220 	 4.9100 	 1 	 17 	 36807904 	 10824.76 	 24853292874555.000000 	 8.016000 	 10800 	 3612.66 	 15331450.000000 	 	 C:\z_mine\research\MEMO muppets\z initem losowym\z_research\mup_active_random_reinit\104b03_res_00.txt 	  173 	 263 	 292 	 399 	 419 	 355 	 248 	 183 	 85 	 42 	 21 	 9 	 6 	 1 	 2 	 1 	 1 	 0 	 0 	 0 	 
290 	 0.00036792 	 2717 	 4.9512 	 1 	 15 	 41465143 	 10815.22 	 24832311024619.000000 	 8.656000 	 10800 	 2542.38 	 10320024.000000 	 	 C:\z_mine\research\MEMO muppets\z initem losowym\z_research\mup_active_random_reinit\104b04_res_00.txt 	  144 	 227 	 349 	 420 	 408 	 330 	 290 	 155 	 89 	 43 	 24 	 13 	 3 	 2 	 3 	 0 	 0 	 0 	 0 	 0 	 
290 	 0.00020044 	 4988 	 4.8864 	 1 	 21 	 41087166 	 10804.24 	 24806267199566.000000 	 9.922000 	 10800 	 6939.19 	 28244136.000000 	 	 C:\z_mine\research\MEMO muppets\z initem losowym\z_research\mup_active_random_reinit\104b05_res_00.txt 	  161 	 273 	 314 	 439 	 404 	 331 	 251 	 135 	 95 	 45 	 20 	 14 	 8 	 0 	 2 	 2 	 4 	 0 	 0 	 2 	 
340 	 0.00024483 	 4084 	 4.8036 	 1 	 16 	 41727047 	 10801.27 	 24800212838429.000000 	 10.969000 	 10800 	 10438.64 	 40638059.000000 	 	 C:\z_mine\research\MEMO muppets\z initem losowym\z_research\mup_active_random_reinit\104b06_res_00.txt 	  161 	 271 	 338 	 435 	 388 	 389 	 206 	 143 	 95 	 34 	 14 	 9 	 8 	 5 	 3 	 1 	 0 	 0 	 0 	 0 	 
270 	 0.00016731 	 5976 	 4.6608 	 1 	 15 	 45365546 	 10805.80 	 24810566782331.000000 	 9.906000 	 10800 	 4041.34 	 19356572.000000 	 	 C:\z_mine\research\MEMO muppets\z initem losowym\z_research\mup_active_random_reinit\104b07_res_00.txt 	  193 	 310 	 346 	 434 	 377 	 323 	 204 	 155 	 81 	 38 	 18 	 10 	 8 	 2 	 1 	 0 	 0 	 0 	 0 	 0 	 
650 	 0.00010008 	 9991 	 4.6492 	 1 	 19 	 47040412 	 10800.85 	 24799121799756.000000 	 16.984000 	 10800 	 10259.96 	 45190921.000000 	 	 C:\z_mine\research\MEMO muppets\z initem losowym\z_research\mup_active_random_reinit\104b08_res_00.txt 	  179 	 315 	 375 	 475 	 345 	 293 	 203 	 143 	 86 	 35 	 26 	 11 	 5 	 6 	 1 	 1 	 0 	 0 	 1 	 0 	 
570 	 0.00006415 	 15586 	 4.4532 	 1 	 18 	 53094262 	 10806.28 	 24811432582306.000000 	 19.391000 	 10800 	 9887.50 	 48926535.000000 	 	 C:\z_mine\research\MEMO muppets\z initem losowym\z_research\mup_active_random_reinit\104b09_res_00.txt 	  201 	 338 	 372 	 506 	 372 	 277 	 185 	 115 	 56 	 35 	 18 	 12 	 5 	 5 	 2 	 0 	 0 	 1 	 0 	 0 	 
