953 	 0.00052521 	 1903 	 5.0280 	 1 	 14 	 774442 	 104.15 	 228953177611.000000 	 2.656000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_memo\104b00_res_01.txt 	  118 	 236 	 287 	 383 	 442 	 405 	 306 	 189 	 80 	 32 	 15 	 5 	 0 	 2 	 0 	 0 	 0 	 0 	 0 	 0 	 
962 	 0.00066028 	 1514 	 5.0056 	 1 	 15 	 1016518 	 121.15 	 268874946764.000000 	 2.859000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_memo\104b01_res_01.txt 	  132 	 240 	 269 	 410 	 438 	 407 	 278 	 178 	 81 	 34 	 20 	 10 	 0 	 1 	 2 	 0 	 0 	 0 	 0 	 0 	 
924 	 0.00138217 	 722 	 4.9648 	 1 	 15 	 1207024 	 131.55 	 293460377438.000000 	 2.671000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_memo\104b02_res_01.txt 	  133 	 225 	 288 	 445 	 444 	 384 	 265 	 162 	 80 	 45 	 15 	 9 	 4 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 
1061 	 0.00029757 	 3360 	 4.8428 	 1 	 18 	 787549 	 110.46 	 245376973820.000000 	 3.219000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_memo\104b03_res_01.txt 	  165 	 241 	 300 	 421 	 447 	 344 	 288 	 157 	 90 	 33 	 10 	 2 	 1 	 0 	 0 	 0 	 0 	 1 	 0 	 0 	 
1017 	 0.00034294 	 2915 	 4.9032 	 1 	 13 	 935499 	 117.90 	 263703107701.000000 	 2.859000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_memo\104b04_res_01.txt 	  141 	 231 	 324 	 433 	 428 	 346 	 284 	 171 	 82 	 35 	 13 	 8 	 4 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 
1271 	 0.00018959 	 5274 	 4.7732 	 1 	 14 	 1012533 	 136.53 	 306096143857.000000 	 4.031000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_memo\104b05_res_01.txt 	  161 	 278 	 304 	 444 	 401 	 366 	 252 	 167 	 77 	 29 	 14 	 3 	 2 	 2 	 0 	 0 	 0 	 0 	 0 	 0 	 
1155 	 0.00022591 	 4426 	 4.7948 	 1 	 14 	 1495877 	 159.84 	 359855948037.000000 	 3.031000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_memo\104b06_res_01.txt 	  145 	 249 	 320 	 442 	 435 	 371 	 253 	 164 	 94 	 18 	 6 	 1 	 0 	 2 	 0 	 0 	 0 	 0 	 0 	 0 	 
1413 	 0.00016242 	 6156 	 4.6592 	 1 	 13 	 907999 	 137.95 	 308803323812.000000 	 3.797000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_memo\104b07_res_01.txt 	  191 	 299 	 320 	 428 	 401 	 343 	 233 	 156 	 77 	 31 	 12 	 7 	 2 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 
1794 	 0.00009668 	 10342 	 4.6268 	 1 	 14 	 1532413 	 205.45 	 460676395391.000000 	 5.187000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_memo\104b08_res_01.txt 	  179 	 308 	 345 	 458 	 370 	 324 	 234 	 149 	 82 	 30 	 13 	 5 	 2 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 
2108 	 0.00005994 	 16683 	 4.4280 	 1 	 14 	 1956898 	 251.70 	 564408069510.000000 	 6.454000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_memo\104b09_res_01.txt 	  196 	 348 	 369 	 480 	 365 	 292 	 205 	 136 	 68 	 24 	 9 	 5 	 2 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 
2782 	 0.00008500 	 11764 	 4.6888 	 1 	 14 	 3883647 	 437.95 	 987423041334.000000 	 7.672000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_memo\104d00_res_01.txt 	  209 	 301 	 367 	 413 	 351 	 295 	 223 	 157 	 90 	 55 	 19 	 15 	 3 	 2 	 0 	 0 	 0 	 0 	 0 	 0 	 
3116 	 0.00003438 	 29087 	 4.3788 	 1 	 13 	 4082717 	 467.73 	 1053514468394.000000 	 9.172000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_memo\104d01_res_01.txt 	  190 	 334 	 430 	 453 	 363 	 300 	 210 	 125 	 63 	 20 	 10 	 1 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 
3228 	 0.00000212 	 471900 	 4.9352 	 1 	 15 	 3258199 	 419.07 	 942216976115.000000 	 8.985000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_memo\104d02_res_01.txt 	  186 	 279 	 311 	 458 	 339 	 299 	 217 	 164 	 105 	 64 	 40 	 21 	 9 	 5 	 3 	 0 	 0 	 0 	 0 	 0 	 
2530 	 0.00008975 	 11141 	 4.5144 	 1 	 14 	 2314928 	 298.28 	 669484657290.000000 	 6.812000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_memo\104d03_res_01.txt 	  179 	 305 	 388 	 475 	 347 	 353 	 211 	 142 	 56 	 26 	 16 	 0 	 1 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 
2711 	 0.00015555 	 6428 	 4.7936 	 1 	 13 	 3098983 	 373.46 	 840258531256.000000 	 7.688000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_memo\104d04_res_01.txt 	  167 	 327 	 361 	 410 	 340 	 293 	 233 	 154 	 108 	 56 	 30 	 16 	 5 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 
1590 	 0.00032664 	 3060 	 4.6812 	 1 	 16 	 2039274 	 220.42 	 495174432714.000000 	 4.406000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_memo\104d05_res_01.txt 	  182 	 261 	 327 	 477 	 413 	 324 	 248 	 150 	 64 	 31 	 11 	 6 	 2 	 1 	 2 	 1 	 0 	 0 	 0 	 0 	 
2285 	 0.00027628 	 3618 	 4.9160 	 1 	 15 	 2065626 	 270.33 	 607116791079.000000 	 5.969000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_memo\104d06_res_01.txt 	  167 	 298 	 305 	 400 	 368 	 329 	 248 	 175 	 108 	 58 	 28 	 10 	 3 	 2 	 1 	 0 	 0 	 0 	 0 	 0 	 
1801 	 0.00132450 	 754 	 5.1384 	 1 	 14 	 1919038 	 232.24 	 522211223395.000000 	 4.703000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_memo\104d07_res_01.txt 	  171 	 245 	 327 	 398 	 331 	 301 	 253 	 190 	 133 	 68 	 40 	 22 	 15 	 6 	 0 	 0 	 0 	 0 	 0 	 0 	 
2113 	 0.00028102 	 3558 	 4.6808 	 1 	 18 	 3144695 	 330.28 	 744148819168.000000 	 6.079000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_memo\104d08_res_01.txt 	  177 	 303 	 381 	 471 	 356 	 300 	 197 	 143 	 77 	 34 	 22 	 17 	 12 	 2 	 5 	 1 	 1 	 1 	 0 	 0 	 
