936 	 0.00056915 	 1756 	 5.1412 	 1 	 15 	 4795678 	 480.71 	 1094686837161.000000 	 3.453000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_classic\104b00_res_00.txt 	  122 	 225 	 286 	 387 	 437 	 377 	 277 	 195 	 107 	 35 	 29 	 12 	 4 	 4 	 3 	 0 	 0 	 0 	 0 	 0 	 
969 	 0.00079334 	 1260 	 5.1112 	 1 	 17 	 9099223 	 857.13 	 1957944951675.000000 	 3.219000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_classic\104b01_res_00.txt 	  136 	 243 	 280 	 401 	 415 	 374 	 263 	 172 	 115 	 33 	 33 	 19 	 11 	 2 	 1 	 0 	 2 	 0 	 0 	 0 	 
887 	 0.00091075 	 1097 	 5.0468 	 1 	 15 	 2295443 	 287.93 	 655407402877.000000 	 3.141000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_classic\104b02_res_00.txt 	  141 	 225 	 285 	 387 	 440 	 383 	 302 	 164 	 96 	 42 	 21 	 5 	 5 	 1 	 3 	 0 	 0 	 0 	 0 	 0 	 
1092 	 0.00030116 	 3320 	 4.9660 	 1 	 15 	 4453391 	 477.34 	 1089036222290.000000 	 3.859000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_classic\104b03_res_00.txt 	  164 	 234 	 287 	 425 	 435 	 344 	 251 	 178 	 99 	 42 	 19 	 11 	 6 	 3 	 2 	 0 	 0 	 0 	 0 	 0 	 
1025 	 0.00035143 	 2844 	 5.0232 	 1 	 17 	 4459615 	 460.15 	 1049912407901.000000 	 3.406000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_classic\104b04_res_00.txt 	  139 	 237 	 329 	 399 	 397 	 349 	 273 	 192 	 95 	 43 	 30 	 7 	 7 	 1 	 1 	 0 	 1 	 0 	 0 	 0 	 
1184 	 0.00019782 	 5054 	 4.8896 	 1 	 15 	 7752625 	 743.93 	 1700129942977.000000 	 4.062000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_classic\104b05_res_00.txt 	  144 	 262 	 336 	 395 	 411 	 365 	 261 	 169 	 85 	 41 	 15 	 9 	 3 	 3 	 1 	 0 	 0 	 0 	 0 	 0 	 
1210 	 0.00021633 	 4622 	 4.9312 	 1 	 14 	 4674032 	 494.08 	 1127781566281.000000 	 4.125000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_classic\104b06_res_00.txt 	  161 	 237 	 313 	 411 	 437 	 356 	 226 	 174 	 104 	 37 	 27 	 12 	 2 	 3 	 0 	 0 	 0 	 0 	 0 	 0 	 
1587 	 0.00015916 	 6282 	 4.7408 	 1 	 19 	 4184159 	 545.43 	 1244750231739.000000 	 4.469000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_classic\104b07_res_00.txt 	  187 	 300 	 343 	 408 	 386 	 314 	 224 	 167 	 86 	 48 	 24 	 7 	 5 	 0 	 0 	 0 	 0 	 0 	 1 	 0 	 
1899 	 0.00009708 	 10300 	 4.6804 	 1 	 15 	 6159470 	 734.77 	 1678879368141.000000 	 5.547000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_classic\104b08_res_00.txt 	  188 	 316 	 365 	 440 	 359 	 296 	 202 	 150 	 90 	 51 	 15 	 14 	 10 	 2 	 2 	 0 	 0 	 0 	 0 	 0 	 
2040 	 0.00006022 	 16605 	 4.5000 	 1 	 15 	 5810978 	 747.19 	 1708059418566.000000 	 6.422000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_classic\104b09_res_00.txt 	  198 	 324 	 375 	 494 	 357 	 287 	 198 	 130 	 55 	 45 	 25 	 8 	 3 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 
2764 	 0.00008336 	 11994 	 4.7188 	 1 	 16 	 7233803 	 1025.23 	 2345230237875.000000 	 8.281000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_classic\104d00_res_00.txt 	  216 	 286 	 379 	 388 	 347 	 299 	 244 	 161 	 84 	 53 	 21 	 11 	 10 	 0 	 0 	 1 	 0 	 0 	 0 	 0 	 
3064 	 0.00003484 	 28699 	 4.4084 	 1 	 12 	 10279650 	 1331.17 	 3045922016488.000000 	 9.203000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_classic\104d01_res_00.txt 	  197 	 330 	 432 	 463 	 349 	 277 	 216 	 110 	 74 	 29 	 15 	 8 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 
4125 	 0.00000254 	 394340 	 4.9584 	 1 	 19 	 12219801 	 1872.61 	 4286131178365.000000 	 11.766000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_classic\104d02_res_00.txt 	  204 	 302 	 342 	 441 	 309 	 276 	 182 	 151 	 100 	 76 	 50 	 25 	 17 	 8 	 7 	 6 	 2 	 1 	 1 	 0 	 
2482 	 0.00008974 	 11142 	 4.5948 	 1 	 14 	 5620469 	 841.81 	 1925061495128.000000 	 7.500000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_classic\104d03_res_00.txt 	  185 	 303 	 367 	 452 	 362 	 331 	 238 	 127 	 81 	 28 	 15 	 9 	 1 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 
2639 	 0.00015945 	 6270 	 4.8500 	 1 	 18 	 8838409 	 1112.43 	 2545421902516.000000 	 7.672000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_classic\104d04_res_00.txt 	  169 	 328 	 342 	 413 	 336 	 315 	 215 	 155 	 109 	 60 	 21 	 11 	 15 	 3 	 5 	 1 	 1 	 1 	 0 	 0 	 
1593 	 0.00032664 	 3060 	 4.8144 	 1 	 16 	 3693150 	 523.94 	 1198204760605.000000 	 5.344000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_classic\104d05_res_00.txt 	  184 	 266 	 302 	 430 	 423 	 328 	 253 	 160 	 67 	 42 	 22 	 12 	 7 	 2 	 0 	 2 	 0 	 0 	 0 	 0 	 
2459 	 0.00027910 	 3582 	 4.9900 	 1 	 15 	 5742872 	 832.39 	 1904605152907.000000 	 6.719000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_classic\104d06_res_00.txt 	  183 	 318 	 289 	 365 	 351 	 299 	 260 	 186 	 127 	 63 	 31 	 14 	 7 	 6 	 1 	 0 	 0 	 0 	 0 	 0 	 
1799 	 0.00136054 	 734 	 5.3604 	 1 	 19 	 7325229 	 853.69 	 1954094737620.000000 	 5.797000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_classic\104d07_res_00.txt 	  154 	 239 	 323 	 374 	 337 	 311 	 242 	 177 	 118 	 88 	 56 	 29 	 21 	 17 	 4 	 7 	 1 	 1 	 1 	 0 	 
