860 	 0.00052826 	 1892 	 5.0356 	 1 	 13 	 372649 	 60.82 	 138353509047.000000 	 1.890000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_active\104b00_res_00.txt 	  114 	 227 	 266 	 423 	 473 	 374 	 298 	 178 	 93 	 34 	 10 	 5 	 5 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 
957 	 0.00059684 	 1674 	 5.0392 	 1 	 15 	 455253 	 71.19 	 161407097138.000000 	 2.250000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_active\104b01_res_00.txt 	  122 	 242 	 279 	 386 	 456 	 381 	 298 	 181 	 92 	 35 	 11 	 13 	 2 	 0 	 2 	 0 	 0 	 0 	 0 	 0 	 
966 	 0.00157109 	 636 	 4.9760 	 1 	 18 	 710892 	 89.29 	 202200580151.000000 	 2.204000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_active\104b02_res_00.txt 	  135 	 234 	 278 	 391 	 467 	 395 	 299 	 171 	 79 	 25 	 12 	 9 	 3 	 0 	 1 	 0 	 0 	 1 	 0 	 0 	 
1008 	 0.00026864 	 3721 	 4.8480 	 1 	 14 	 457502 	 75.07 	 169399591060.000000 	 2.485000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_active\104b03_res_00.txt 	  152 	 227 	 317 	 439 	 444 	 365 	 258 	 163 	 92 	 27 	 8 	 4 	 3 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 
936 	 0.00032520 	 3074 	 4.9672 	 1 	 15 	 326091 	 62.68 	 141403104405.000000 	 2.328000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_active\104b04_res_00.txt 	  135 	 217 	 321 	 381 	 451 	 376 	 330 	 162 	 70 	 26 	 22 	 7 	 0 	 1 	 1 	 0 	 0 	 0 	 0 	 0 	 
1191 	 0.00018000 	 5554 	 4.8116 	 1 	 15 	 508779 	 87.84 	 197285445220.000000 	 2.547000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_active\104b05_res_00.txt 	  150 	 261 	 330 	 411 	 445 	 358 	 249 	 170 	 65 	 31 	 19 	 4 	 4 	 2 	 1 	 0 	 0 	 0 	 0 	 0 	 
1171 	 0.00021699 	 4608 	 4.8128 	 1 	 17 	 393445 	 80.05 	 179483285743.000000 	 3.125000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_active\104b06_res_00.txt 	  161 	 255 	 308 	 432 	 430 	 360 	 241 	 184 	 80 	 33 	 10 	 3 	 1 	 1 	 0 	 0 	 1 	 0 	 0 	 0 	 
1471 	 0.00016485 	 6065 	 4.6500 	 1 	 13 	 600776 	 106.74 	 238424485933.000000 	 3.485000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_active\104b07_res_00.txt 	  197 	 308 	 317 	 450 	 380 	 333 	 221 	 141 	 91 	 35 	 12 	 8 	 7 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 
1715 	 0.00009100 	 10988 	 4.6260 	 1 	 15 	 610282 	 123.88 	 275864483303.000000 	 4.265000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_active\104b08_res_00.txt 	  176 	 298 	 358 	 455 	 376 	 326 	 232 	 155 	 73 	 28 	 18 	 3 	 1 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 
2003 	 0.00005921 	 16888 	 4.4452 	 1 	 13 	 792004 	 150.89 	 335475587918.000000 	 4.703000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_active\104b09_res_00.txt 	  192 	 346 	 374 	 467 	 371 	 297 	 205 	 133 	 73 	 24 	 11 	 6 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 
2716 	 0.00008200 	 12194 	 4.7348 	 1 	 14 	 1710274 	 260.11 	 579455509653.000000 	 6.672000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_active\104d00_res_00.txt 	  215 	 291 	 354 	 397 	 342 	 313 	 244 	 147 	 104 	 59 	 20 	 11 	 2 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 
2947 	 0.00003408 	 29338 	 4.3956 	 1 	 11 	 1642275 	 267.33 	 594618704488.000000 	 7.047000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_active\104d01_res_00.txt 	  192 	 343 	 404 	 467 	 354 	 287 	 226 	 132 	 60 	 24 	 11 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 
3032 	 0.00000046 	 2171070 	 4.9536 	 1 	 19 	 1139348 	 240.94 	 533910652753.000000 	 7.063000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_active\104d02_res_00.txt 	  185 	 280 	 320 	 434 	 340 	 298 	 220 	 176 	 110 	 59 	 40 	 23 	 7 	 5 	 1 	 1 	 0 	 0 	 1 	 0 	 
2489 	 0.00008732 	 11451 	 4.5344 	 1 	 13 	 1379782 	 218.88 	 485747497289.000000 	 5.890000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_active\104d03_res_00.txt 	  187 	 309 	 354 	 483 	 354 	 359 	 205 	 129 	 75 	 32 	 7 	 4 	 2 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 
2389 	 0.00015649 	 6389 	 4.7904 	 1 	 17 	 2029755 	 260.59 	 581590568569.000000 	 6.110000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_active\104d04_res_00.txt 	  167 	 318 	 355 	 425 	 342 	 307 	 229 	 156 	 96 	 50 	 33 	 13 	 7 	 1 	 0 	 0 	 1 	 0 	 0 	 0 	 
1587 	 0.00032637 	 3063 	 4.6456 	 1 	 16 	 706942 	 126.73 	 280536785264.000000 	 3.875000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_active\104d05_res_00.txt 	  177 	 274 	 309 	 475 	 431 	 334 	 266 	 136 	 65 	 15 	 11 	 1 	 2 	 2 	 1 	 1 	 0 	 0 	 0 	 0 	 
2083 	 0.00027012 	 3701 	 4.9008 	 1 	 15 	 991543 	 171.30 	 379236550766.000000 	 5.515000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_active\104d06_res_00.txt 	  174 	 299 	 295 	 399 	 370 	 330 	 261 	 179 	 99 	 48 	 28 	 9 	 4 	 4 	 1 	 0 	 0 	 0 	 0 	 0 	 
1787 	 0.00125549 	 795 	 5.1716 	 1 	 16 	 1412098 	 182.41 	 405724633587.000000 	 4.563000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_active\104d07_res_00.txt 	  155 	 244 	 306 	 425 	 358 	 311 	 244 	 177 	 107 	 80 	 41 	 26 	 10 	 10 	 4 	 2 	 0 	 0 	 0 	 0 	 
2050 	 0.00026914 	 3714 	 4.7048 	 1 	 17 	 1099684 	 178.58 	 396179388431.000000 	 4.437000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_active\104d08_res_00.txt 	  170 	 295 	 386 	 492 	 362 	 267 	 204 	 133 	 79 	 40 	 35 	 21 	 8 	 4 	 1 	 2 	 1 	 0 	 0 	 0 	 
