880 	 0.00056275 	 1776 	 5.1144 	 1 	 16 	 4381537 	 427.27 	 979763191233.000000 	 2.953000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_memo_total\104b00_res_00.txt 	  111 	 231 	 278 	 383 	 459 	 371 	 310 	 187 	 109 	 25 	 19 	 7 	 6 	 3 	 0 	 1 	 0 	 0 	 0 	 0 	 
897 	 0.00074102 	 1348 	 5.0468 	 1 	 17 	 5355279 	 517.19 	 1186027756082.000000 	 2.625000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_memo_total\104b01_res_00.txt 	  131 	 239 	 267 	 418 	 436 	 371 	 295 	 180 	 93 	 26 	 24 	 7 	 8 	 3 	 0 	 1 	 1 	 0 	 0 	 0 	 
953 	 0.00166528 	 600 	 5.0136 	 1 	 15 	 4103783 	 420.62 	 964459292508.000000 	 2.860000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_memo_total\104b02_res_00.txt 	  142 	 236 	 300 	 395 	 444 	 352 	 279 	 166 	 98 	 48 	 21 	 15 	 3 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 
1012 	 0.00029864 	 3348 	 4.9456 	 1 	 15 	 3772470 	 432.19 	 990938749431.000000 	 3.359000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_memo_total\104b03_res_00.txt 	  162 	 234 	 284 	 423 	 418 	 385 	 257 	 165 	 101 	 39 	 19 	 10 	 0 	 2 	 1 	 0 	 0 	 0 	 0 	 0 	 
922 	 0.00036610 	 2730 	 5.0172 	 1 	 14 	 3541618 	 362.36 	 830767586224.000000 	 2.703000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_memo_total\104b04_res_00.txt 	  129 	 240 	 315 	 404 	 411 	 351 	 303 	 179 	 93 	 34 	 22 	 11 	 4 	 4 	 0 	 0 	 0 	 0 	 0 	 0 	 
1200 	 0.00018882 	 5295 	 4.8516 	 1 	 18 	 5803495 	 698.73 	 1601486616144.000000 	 4.531000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_memo_total\104b05_res_00.txt 	  164 	 259 	 319 	 416 	 410 	 349 	 261 	 170 	 84 	 37 	 16 	 11 	 1 	 1 	 0 	 1 	 0 	 1 	 0 	 0 	 
1116 	 0.00022075 	 4529 	 4.8300 	 1 	 16 	 3548580 	 388.10 	 889189429861.000000 	 3.390000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_memo_total\104b06_res_00.txt 	  161 	 251 	 325 	 408 	 442 	 361 	 244 	 167 	 82 	 32 	 13 	 4 	 6 	 3 	 0 	 1 	 0 	 0 	 0 	 0 	 
1494 	 0.00016565 	 6036 	 4.6948 	 1 	 15 	 5048443 	 665.35 	 1524364442620.000000 	 5.406000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_memo_total\104b07_res_00.txt 	  203 	 316 	 314 	 421 	 365 	 351 	 223 	 131 	 92 	 40 	 30 	 8 	 4 	 0 	 2 	 0 	 0 	 0 	 0 	 0 	 
1710 	 0.00009964 	 10036 	 4.6656 	 1 	 15 	 7689588 	 780.29 	 1788022457877.000000 	 5.437000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_memo_total\104b08_res_00.txt 	  180 	 292 	 355 	 451 	 394 	 303 	 226 	 149 	 81 	 39 	 18 	 6 	 5 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 
2083 	 0.00006210 	 16101 	 4.4660 	 1 	 17 	 14240025 	 1522.40 	 3489251844140.000000 	 6.235000 	 10800 	 C:\z_mine\research\MEMO muppets\z_init_with_ct_mod\z_research_LWTS\mup_memo_total\104b09_res_00.txt 	  200 	 336 	 366 	 494 	 373 	 276 	 196 	 121 	 72 	 40 	 15 	 6 	 2 	 1 	 0 	 1 	 1 	 0 	 0 	 0 	 
